name,address,category,veryPrice,paymentRatio,link
황금비앤채,인천 부평구 동수북로 162 명성빌딩 501호,의료/건강,500원,50%,https://pay.verychat.io/shops/ErTyU
buks,Randa area ogbomoso,기타,0.1 USD,50%,https://pay.verychat.io/shops/DnAYu
Akosombo Construction,"GGXG+6GG, Kasoa",부동산/인테리어,10,5%,https://pay.verychat.io/shops/mCldq
Signboard business,"36 ซอย อินทามระ 44, 36 ซอย อินทามระ 44 • ดินแดง/ Din Daeng
กรุงเทพมหานคร/ Bangkok,ดินแดง/ Din Daeng, 10400",기타,-,-,https://pay.verychat.io/shops/wSwtd
General store,Main Road Opposite Bus terminal Azadpur Delhi 110033,기타,-,-,https://pay.verychat.io/shops/ynomj
Geralson Place,"76 Nelson Mandela, Uyo",가전/게임,0.004,100%,https://pay.verychat.io/shops/eRXqt
Graphics Design,Emmanuel Alayande College of Education,기타,0.007,65%,https://pay.verychat.io/shops/wCPps
Ibeson computers limited,Odo street,기타,$2,50%,https://pay.verychat.io/shops/VavXi
AFFUL STORE,HPX8+635 Awoshie,패션/잡화,10,5%,https://pay.verychat.io/shops/Lgvog
Lois Clothing,6CQXHPX8+74,기타,0.2 GHS,50%,https://pay.verychat.io/shops/PKjZc
VPS RENTAL SERVICES FOR NODE,"Ngunengan,Selopuro,Kabupaten Ngawi,Jawa Timur",기타,100,50%,https://pay.verychat.io/shops/UgCfx
IHSAN LUXURY STORE,bagadaza transfer na uku gombe,패션/잡화,50,50%,https://pay.verychat.io/shops/QMarE
넥스에이아이티,경남 김해시 주촌면 소망길 88 경남테크노파크시험생산동 1-202호,기타,10원,100%,https://pay.verychat.io/shops/ZxCvN
Theo movers,Challenge ring road Ibadan,가전/게임,-,-,https://pay.verychat.io/shops/YxTnH
얌얌,광주 광산구 고봉로 56 4층 402호,식당/카페,문의,-,https://pay.verychat.io/shops/DfGhK
Blaqdiamond craytivity,"37 ,Osaara Junction Beside Aminat College Gbonagun Obantoko Abeokuta Ogun State",기타,-,-,https://pay.verychat.io/shops/LqBcD
송월타올 포항송도점,경북 포항시 남구 송도해안길112번길 14-1,패션/잡화,10원,30%,https://pay.verychat.io/shops/NqWeR
Choco 1 Graphix,GE-355-6891,기타,GHS 10,100%,https://pay.verychat.io/shops/SGtuU
세덴 정발산점,경기 고양시 일산동구 마두동844-6 세덴,기타,7원,30%,https://pay.verychat.io/shops/OgmeD
ZAYBARH'S WING NIG LTD,No. 1 behind Raudakayi mosque Nasarawa Kano,기타,0.9,50%,https://pay.verychat.io/shops/AAGjn
Precious Communication,"Portharcourt Rivers State, Nigeria",패션/잡화,0.0028$,50%,https://pay.verychat.io/shops/bjDSk
Glover Aluminium,"Fancy Rd, Accra",부동산/인테리어,0.1 GHS,50%,https://pay.verychat.io/shops/ciHPs
Raden pet'shop,Perumahan taman adiyasa blok c8/7 RT 06/06 desa cikasungka kecamatan solear Kabupaten Tangerang,반려동물,0.007,50%,https://pay.verychat.io/shops/zWNYg
Aryan Soft Drinks,"Kasuwar Kuda Hadejia, General Hospital Road.",기타,"₦1,200",50%,https://pay.verychat.io/shops/TbPJX
Tiamin Rice Limited (Rice Farm & Milling Company),"Udubo, Gamawa Local Government Area, Bauchi State, Nigeria.",기타,0.005$,30%,https://pay.verychat.io/shops/xrfzD
Sate taichan,"Jl dewandaru no 11a,jatimulyo, kec lowokwaru, kota malang 65141",식당/카페,23000,50%,https://pay.verychat.io/shops/PxtTw
백조,대전시 중구 유천로45-1  2층,미용,10,35%,https://pay.verychat.io/shops/aDUvo
Sunrise,Ibrahim taiwo road by inwa wada road.kano,사무기기,0.004,50%,https://pay.verychat.io/shops/tVPfM
Zainab teller,Kofar ruwa b,사주/타로,20,95%,https://pay.verychat.io/shops/NEDLI
BJ COMMUNICATIONS,https://maps.app.goo.gl/JAhpJpx5FscFe6PK7,기타,0.0072,30%,https://pay.verychat.io/shops/LnIxv
kryana shop,Agency mor Near Shah Yousaf Mangowal Kalan Tehsil Shahpur District Sargodha,기타,0.1,50%,https://pay.verychat.io/shops/xzTQi
Panchal electronic,Chak bahadurpur datia Madhya Pradesh pin 475661 india,기타,Inr 10,50%,https://pay.verychat.io/shops/pKopC
바이오미스트광주 지사,광주광역시 남구 봉주4길34,패션/잡화,10,50%,https://pay.verychat.io/shops/siNEN
Hajiya amina business IG investment abaya's,Sani Mai nagge B 1666,기타,50,50%,https://pay.verychat.io/shops/dRWTs
Nindya kosmetik,Nindya kosmetik Depan SDN 1 Beleka BUNDARAN PATUNG SAPI LOMBOK BARAT,미용,3,50%,https://pay.verychat.io/shops/GkwRI
Signature,https://maps.app.goo.gl/2QpooqF7QVUxkRgo7,사무기기,100,50%,https://pay.verychat.io/shops/gFest
Putra jaya elektronik,0x88927C8bdE782e753C7C4A3fc878F466a0764c15,가전/게임,100,10%,https://pay.verychat.io/shops/sZLYY
Al-shifa medicine shop,Millennium city kadaure kaduna,의료/건강,0.01,50%,https://pay.verychat.io/shops/tISdo
피씨마루 (PC maru),경기 고양시 일산서구 일산로 638 2층,기타,10원,100%,https://pay.verychat.io/shops/WeRtU
Toko Bangunan Reva,"Handil Bakti, Kec. Alalak, Kabupaten Barito Kuala, Kalimantan Selatan 70582",기타,0.007$,50%,https://pay.verychat.io/shops/nCMUZ
Gaaf Apparel,GMWH+V28 Accra,미용,0.02,20%,https://pay.verychat.io/shops/LTroJ
Chiney's Bakers and Pastries,"20, Ibijoke Street Off Kudirat Abiola Way Oregun Ikeja Lagos.",식당/카페,0.003$,80%,https://pay.verychat.io/shops/rFlOy
Trade,Kaduna state kaduna north Dumbi street Abakpa,기타,0.0017,50%,https://pay.verychat.io/shops/yrxhk
Lamsal Kirana Pasal,"Ghorahi-17, Dang, Nepal.",기타,1 Very=1 Npr.,50%,https://pay.verychat.io/shops/BpjSN
Grand Square Telecoms,5 Ogunsiji Close Mafoluku Oshodi Lagos Nigeria,기타,0.007,50%,https://pay.verychat.io/shops/ehpXq
Cheezious,Gulbahar Num 1 Peshawar,식당/카페,0.1$,50%,https://pay.verychat.io/shops/MwKdQ
AGEN KUE NARASA,Cikarang Selatan Kab.Bekasi,기타,"0,11",100%,https://pay.verychat.io/shops/ovKYM
Freelancing graphics design,Lautech University,기타,0.007,60%,https://pay.verychat.io/shops/qCnhA
Graphics Design,Lautech Teaching Hospital,기타,0.007,60%,https://pay.verychat.io/shops/ttABp
Al-Excel Global Services,"Agberi Compound, Iperin, Ila-Orangun",기타,-,-,https://pay.verychat.io/shops/MndER
Umarne provision shop,Gwagwalada Abattoir Abuja.,기타,₦700,40%,https://pay.verychat.io/shops/znkFA
communication centre,"Gwange ll ward Maiduguri, Borno state.",기타,0.00015,50%,https://pay.verychat.io/shops/jYZuQ
Attahir Global links (textile business),"Shop 111 Fatima house, kwari market ibb road Kano.",패션/잡화,-,-,https://pay.verychat.io/shops/LXpon
GreenVolt Hub Uganda,"Plot 45, Luwum Street, Kampala Central Division, Kampala, Uganda",기타,0.0028,70%,https://pay.verychat.io/shops/PVnfq
Major Computer College and Cyber Cafe,https://maps.app.goo.gl/QNWzzcfqwALND9fMA,식당/카페,0.0072,30%,https://pay.verychat.io/shops/LdhjC
Dakshinkali Hotel & Sekuwa Center,"Godawari Nagarpalika Ward No. -2, Mahendranagar Road Attariya , Kailali, Nepal",식당/카페,-,-,https://pay.verychat.io/shops/ajSfE
신내홈플안경원,서울특별시 중랑구 신내로225 디아뜨겔러리 1층 129호,패션/잡화,10원,50%,https://pay.verychat.io/shops/cWcgW
우드픽쳐스,충북 단양군 단양읍 고수동굴길 3-6,취미/도서,10원,30%,https://pay.verychat.io/shops/pLmNo
(주)여행조아,경남 진주시 남강로 597-1,여행/숙박,10원,50%,https://pay.verychat.io/shops/qNdRa
Dasmesh Dayri Kriyana Store,"Vill.Ghaswa, P.o, Chimmo, Teh.Ratia, Dist. Fatehabad, St. Haryana, Pincode.125051",가전/게임,-,-,https://pay.verychat.io/shops/Vmgjh
Yees fashion design,Mil tara ungogo kano state,패션/잡화,50,20%,https://pay.verychat.io/shops/WUORK
낭만닭터(낭만공장),대구 동구 아양로9길 6-2,식당/카페,-,-,https://pay.verychat.io/shops/RtYuI
Maman Zee Tailoring.,"Jushi, Zaria.",기타,$0.6,50%,https://pay.verychat.io/shops/pGmzJ
캐슬리빙텔,"경기 용인시 수지구 죽전로168번길 3-1 캐슬프라자 701, 702호",여행/숙박,5원,20%,https://pay.verychat.io/shops/UiOpA
Anmol journal store,District Vehari city Mailsi,패션/잡화,0.1,95%,https://pay.verychat.io/shops/OQJEw
zeeta provision store,Dutsen tanshi Near primary school,가전/게임,50,50%,https://pay.verychat.io/shops/SjtoD
CLARITE ROYAL,"No. 6, OMOLOLU-FATUNBI STREET, OFF AZOMBE STREET,  JAKANDE ESTATE,  OSHODI-ISOLO L.G.A,  LAGOS STATE, NIGERIA",패션/잡화,10#,30%,https://pay.verychat.io/shops/VTfJz
눈사랑안경 함양점,경남 함양군 함양읍 용평1길19 1층,의료/건강,5원,50%,https://pay.verychat.io/shops/BRKiC
Kkopi Tea,Sampiruhan Calamba Laguna,식당/카페,-,-,https://pay.verychat.io/shops/ogznk
하이컴,경북 포항시 남구 양학천로136번길 16,가전/게임,10원,20%,https://pay.verychat.io/shops/yUiOp
Clothes and shoes,No 7. Dogon karfe plateau state,패션/잡화,50,50%,https://pay.verychat.io/shops/KaOvG
City Sliquorz,"78c Muwuliriza Rd, Kampala, Uganda",식당/카페,-,-,https://pay.verychat.io/shops/mdfeS
Multi Verychat Exchange and Sell Partners,"Okpanku, Nigeria",기타,0.003$,100%,https://pay.verychat.io/shops/mUxSW
Nasi rames,Taman Jajan Bukti Nusa indah,식당/카페,1000,100%,https://pay.verychat.io/shops/yZDmW
Shafqat kiriana store,Of bhogi thal mauza dhingana tahsil mankera district Bhakkar,사무기기,0.5,60%,https://pay.verychat.io/shops/jHFGU
Kios Umi,Jl raya cibentang No.28,가전/게임,"$0,1",100%,https://pay.verychat.io/shops/tiUac
Frank-Tech Collections,"No 33 Venn Road South, Onitsha, Anambra State, Nigeria.( Photo Shopping Plaza )",미용,#50,50%,https://pay.verychat.io/shops/MqvnZ
سوبر ماركت الاصلى,https://share.google/yymrVns5N2zB2xjHY,기타,0.1,50%,https://pay.verychat.io/shops/XzRDB
EWANS GLOBAL,"ID: @Shioria_1

Name: EWANS GLOBAL 

Address: Suite 101A, Samfa Plaza, Abuja, Nigeria 
Pin code 900211",기타,$0.0072,50%,https://pay.verychat.io/shops/HVJwm
Khawja mobile haitu,Khawja mobile haitu tehsil kallur kot district Bhakkar,기타,1.99 pkr,50%,https://pay.verychat.io/shops/ZGOfv
Living Bor's Car repairs,HPX8+64P Awoshie,기타,Gh¢25,50%,https://pay.verychat.io/shops/Kxfzh
Kitchenwares,Kano,패션/잡화,50,50%,https://pay.verychat.io/shops/ewYzd
YAWA'S ELECTRICALS ENGINEER,HPX8+626 Awoshie,기타,GH¢0.088,10%,https://pay.verychat.io/shops/MVYUF
Teh Solo ( Rese.id ),"Jl. Taman Jajan Bukit Nusa Indah, Serua, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414",식당/카페,200,100%,https://pay.verychat.io/shops/wKjhX
Risol mayo alba,Jl. Bubutan DKA I No. 21 Surabaya,식당/카페,"1,7$",50%,https://pay.verychat.io/shops/KAzjY
Muni's Bakery,"JP26+74R Awoshie, Awoshie washing bay",식당/카페,Gh¢50,5%,https://pay.verychat.io/shops/vjWrA
Mr MK CLOTHING,"Shop no 004, near inec office, tudun wada area, Zuru 872101, Kebbi",패션/잡화,10 Naira,50%,https://pay.verychat.io/shops/hSZwy
레드우드 베리챗 춘천지원센터,강원특별자치도 춘천시 동산면 조양1길 39,기타,10,100%,https://pay.verychat.io/shops/nMqWe
오리궁뎅이체인본부,광주 남구 봉주2길 34,식당/카페,-,-,https://pay.verychat.io/shops/FgHjK
Unique tyres,https://pay.verychat.io/shops/apply,기타,0.10,20%,https://pay.verychat.io/shops/yFAJv
리움공인중개사사무소,서울 서초구 사임당로21 103호(서초동),부동산/인테리어,10,20%,https://pay.verychat.io/shops/eZtWq
toko kue assalamah,"jl raya bojongloa,",식당/카페,10,50%,https://pay.verychat.io/shops/rxRHa
Cosmetics,"Jhaukhael,Bhaktapur Nepal",미용,-,-,https://pay.verychat.io/shops/DfeZh
Printing and phocopy,"Community market A. B. U Kaduna state, Samaru Zaria.",여행/숙박,0.0017,50%,https://pay.verychat.io/shops/SFmVD
OW Oxxy Water,Samping Masjid Al muasyaroh. Kp. Ciagem RT 018/004. Desa.Jayamakmur Kec.Jayakerta Kab.Karawang Prov.Jawabarat Indonesia . 41352,의료/건강,-,-,https://pay.verychat.io/shops/cHbTy
Evelyn,GW-0137-268,미용,5,5%,https://pay.verychat.io/shops/DdMXS
MAHASKA_PHOTOGRAPHY,"Jln. Cot Girek, KM 3, Gampong Nga LT, Dusun Taqwa, Lhoksukon, Aceh, Indonesia 24382",기타,0.0025$,75%,https://pay.verychat.io/shops/jfDtf
RENOVOLT TECHNOLOGY,"9 alonge street, akoka Lagos",기타,50,50%,https://pay.verychat.io/shops/sgNtf
Catering services,Bado Alu quarters,가전/게임,50,50%,https://pay.verychat.io/shops/puNIp
Sulthan Store,"Jl. Sultan Malikul Saleh No. 12 Lam lagang , Kota Banda Aceh, Indonesia",패션/잡화,USD $5,50%,https://pay.verychat.io/shops/nUIwZ
CSC SENTER DIGHAWANI,"DIGHAWANI SAJNA SONPUR AMARWADA CHHINDWARA MADHYA PRADESH 
480221 INDIA",기타,INR10 $0.1,50%,https://pay.verychat.io/shops/BLbld
Amina Mamie solarcape electronics hub,Dauda Mani road kofar sauri sabon titi road Katsina,가전/게임,50,50%,https://pay.verychat.io/shops/rKVWM
car services,https://maps.app.goo.gl/xJn8daoMfkqc3PRb7?g_st=ac,기타,0.001,50%,https://pay.verychat.io/shops/Ocndh
Provision shop,Beside Unguwwar Taiki Special primary School,식당/카페,0.5,50%,https://pay.verychat.io/shops/UVMod
Bistech Welding Works,"1, Orogbo Street,  Afobaje Estate,  Ota.  Ogun State.  Nigeria",기타,-,-,https://pay.verychat.io/shops/hrTuW
Oji boba temple,"Sagolband sayang road konthoujam leikai opposite fabdontics dental care, imphal West, Manipur, India 795001",식당/카페,₹0.50,100%,https://pay.verychat.io/shops/tJsdG
Crunchies cakes and confectionary,"8, nwaham close,araromi ibeju lekki Lagos",식당/카페,-,-,https://pay.verychat.io/shops/HtRwE
basant kirana store,vll-bucheya po-sidhwalia ps-sidhwalia dist-gopalganj  bihar pin-841423,가전/게임,-,-,https://pay.verychat.io/shops/krNdI
FEARLESS Electrical,https://maps.app.goo.gl/nPmQP6N6p5Bz69KR8,기타,Gh$0.088,30%,https://pay.verychat.io/shops/APNZC
DAS Tower,"Khulna,Bangladesh",가전/게임,$0.1,100%,https://pay.verychat.io/shops/smWOb
Crypto vendor,"No. 20 Sir Mendo Ave. Akpasak Estate, Uyo, Akwa Ibom State",기타,0.007,65%,https://pay.verychat.io/shops/qjXSn
Airtime and data vendor,"Lautech, Ogbomoso",기타,0.0007,70%,https://pay.verychat.io/shops/GyDOm
artofzurie,"32 Sarah faboyede street, bucknor ejigbo Lagos state",기타,10 naira,40%,https://pay.verychat.io/shops/RSwPv
Ninie's cuisines,Yandoma Street kofar marusa quaters katsina state,식당/카페,50,50%,https://pay.verychat.io/shops/ZvZbK
Provision store,Jimeta mordarn market,기타,0.0015,50%,https://pay.verychat.io/shops/FCEdU
THE KID'S WEAR STORE,JQJF+8FQ Accra,패션/잡화,10GH¢,30%,https://pay.verychat.io/shops/dYQhB
Nijma Transport,Gazaoua maradi,미용,0.018,50%,https://pay.verychat.io/shops/nuMeB
Karim zarai markaz,City Dera Ismail Khan chashma road dahotar Ada,기타,0.2,50%,https://pay.verychat.io/shops/AKFnt
Maserati Farms,https://maps.app.goo.gl/xEhEGiPMLT9XJi5u9?g_st=ic,기타,200,5%,https://pay.verychat.io/shops/nvoeV
Bubur ayam mang udin,"Jln sigura gura barat no 30 karang besuki,kec sukun, kota malang 65149",식당/카페,15000,50%,https://pay.verychat.io/shops/Ifvze
BUP Alpha Admission Batch,"Mirpur Cantonment, Dhaka",취미/도서,AUD 0.01,50%,https://pay.verychat.io/shops/mRWCh
대마돈가 만천1호점,강원도 춘천시 동면 만천로81 1층,식당/카페,10원,50%,https://pay.verychat.io/shops/aZtQr
엠에이치산업,경북 영천시 중앙동1길 102-10 대동다숲아파트 104동 1901호,기타,10,50%,https://pay.verychat.io/shops/IoPaS
Madina Foam Carpet,Police line road district bahawalnagr,기타,Pkr 1.9,50%,https://pay.verychat.io/shops/dnLtr
아낌없이,경기 수원시 장안구 송정로 164,식당/카페,10원,100%,https://pay.verychat.io/shops/IoPaD
Provions,"Katsina State. Dutsinma local GOVERNMENT 
Kadangaru bayan motel dutsinma",부동산/인테리어,0.004,50%,https://pay.verychat.io/shops/KEOwS
태영주차장,부산 북구 만덕동 845-1,기타,5원,50%,https://pay.verychat.io/shops/pKNfx
Gentle Magic Skincare,Shop 13/14 Imo Plaza Cluster BBA Tradefair International Market Ojo Lagos.,미용,$0.007,50%,https://pay.verychat.io/shops/EMFjk
The Hairstylist Inn,55 Dome Road Accra Ghana,미용,GH¢0.88,20%,https://pay.verychat.io/shops/ukUQa
한국재활심리상담센터,제주특별자치도 제주시 동광로 131 일도클리닉 702호,기타,10원,100%,https://pay.verychat.io/shops/UiOpS
GARUS PHONE STORE,"Shop no 20 phone centre zango area,872101, kebbi state",기타,10 naira,50%,https://pay.verychat.io/shops/spsEC
Freelancing,University of Ibadan,기타,0.007,60%,https://pay.verychat.io/shops/CMeIO
"Bhawana vegetable,fruit saplayer","shree krishnapur,kanchanpur.gularya,Nepal
sudherpachim Pradesh Nepal.",부동산/인테리어,-,-,https://pay.verychat.io/shops/UxJkP
Mobile Shop,"Dallu awas, Swyambhu15, Kathmandu, Nepal",기타,-,-,https://pay.verychat.io/shops/KjMpQ
R&C 디자인,"인천광역시 부평구 새벌로 29, 부평테크노타워 612호",부동산/인테리어,-,-,https://pay.verychat.io/shops/oMgeN
Data and airtime vendor,"University of Ibadan, Oyo state",기타,0.007,60%,https://pay.verychat.io/shops/XWtmo
Clothing  business,Ibeju likki shopping  🛍  clothing  plaza  number  3 ifelodu street,미용,-,-,https://pay.verychat.io/shops/qUVFZ
Jiddancy22 house for humra kaskon,NO5 zakari raod majalisa kwaru badarawa Kaduna State,가전/게임,50,50%,https://pay.verychat.io/shops/JKMGE
Warung seblak te4 dan tahu gejrot,"Jalan raya, sangiang, pamarayan,serang",식당/카페,10,50%,https://pay.verychat.io/shops/XbFZi
Cell phone repair.,Ijagbo Offa opposite De real special Bread,기타,$0.01,50%,https://pay.verychat.io/shops/zfDdZ
Hajiya saadatu catering service,Sharada phase 3 kano state,식당/카페,50,50%,https://pay.verychat.io/shops/enBJl
Almadina cloth house store,Almadina cloth house Haitu tehsil kallur kot district bhakkar,기타,1.99pkr,50%,https://pay.verychat.io/shops/aOWCl
Ahsan auto workshop,Ahsan auto workshop Shahpur sahiwal road district Sargodha,사무기기,0.1,30%,https://pay.verychat.io/shops/HwuzM
Toko iyah aki mobil dan motor,"kec.pamarayan, kabupaten,serang banten",패션/잡화,15,50%,https://pay.verychat.io/shops/DeUJT
Muhamad bungsu,"Bahagia,kecamatan Babelan, kabupaten Bekasi, Jawa Barat,17610",기타,1$,100%,https://pay.verychat.io/shops/qvXbx
D-Sign and build construction,"No. 2 Ola street, iyana Itire Surulere",부동산/인테리어,$2,50%,https://pay.verychat.io/shops/GFxaq
Jakes Electrical solutions,HPW7+RR3Awoshie,기타,Gh¢ 20,50%,https://pay.verychat.io/shops/TkFdH
Communication center,Kofar yamma,기타,50,50%,https://pay.verychat.io/shops/bVRVK
비엔비골프연습장,부산 강서구 명지오션시티4로 81 세정프라자 7층,기타,5원,50%,https://pay.verychat.io/shops/vBnMq
Trade,"Kaduna to Jos road, opposite kayarda road, anguwan Waziri, Sabon Birni, Lere LGA Kaduna State of Nigeria.",패션/잡화,0.00321,50%,https://pay.verychat.io/shops/uPfRW
5 star Stationary,Afridi colony orangi town sector 10 karachi west,사무기기,0.1,75%,https://pay.verychat.io/shops/ybgax
Suresh Kiran pasal,"Gurbhakot-8,Surkhet",식당/카페,1,50%,https://pay.verychat.io/shops/DiTUT
Angelina Women’s Footwear,8MRW+J3H Sunyani,패션/잡화,0.200 GHS,30%,https://pay.verychat.io/shops/yBVfC
Suchuks ind tools and co,26 Kindness tradefare center,기타,10#,25%,https://pay.verychat.io/shops/KOwTD
Fashion,Kurfi central mosque,패션/잡화,50,50%,https://pay.verychat.io/shops/rgOUU
sports store,Multan shujhabad Allah wala chowk,가전/게임,1$,50%,https://pay.verychat.io/shops/YZAuR
kirana store,Bhaktapur puranothimi raitol dhungedhara,기타,1very@Rs 1,100%,https://pay.verychat.io/shops/omVAI
Ajen electronics,"ktm ward number 16 Banasthali kharibot ,nagarik bajar",기타,-,-,https://pay.verychat.io/shops/OzIqC
Carink,"Warri Delta State, Nigeria.",부동산/인테리어,0.004$,35%,https://pay.verychat.io/shops/LTSXz
OJ. ENTERPRISE,"Shop no 0013 ahmadu Bello street zango area, zuru,872101, kebbi Nigeria",기타,10 naira,50%,https://pay.verychat.io/shops/AEkuG
Chaudhary Kitab Ghar,"Ada Rasfa, Fort Abbas Yazman Road, Rasafa, 62000",취미/도서,0.1,50%,https://pay.verychat.io/shops/BDAPd
Pharmacy,Karu Abuja FCT,의료/건강,50,50%,https://pay.verychat.io/shops/ywgJI
WitchyTechy Solutions,Katampe Junction.,기타,0.007,50%,https://pay.verychat.io/shops/kqrcg
WE ARE +62,"Jl. Biduri No.19, Sandik, Kec. Batu Layar, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83355",식당/카페,1000,95%,https://pay.verychat.io/shops/ZhdpN
Fruits selling,Katahara handia prayagraj,기타,0.6,10%,https://pay.verychat.io/shops/gmZhS
벽산명품세탁소,부산 사하구 하신중앙로 265 가락타운3단지상가 1층 128호,기타,10원,50%,https://pay.verychat.io/shops/MakfC
Computer shop,Dokri rillu bazar sohu computer shop dokri,사무기기,1.99pkr,50%,https://pay.verychat.io/shops/rJlui
Dudhabale Super Bazar,Lanzeda Dhanora Road Gadchiroli Maharashtra India 442605,가전/게임,0.62,other%,https://pay.verychat.io/shops/wPxsL
Ayam penyet cyber,"Jl. Ciberekah, Manggungjaya, Kec. Rajapolah, Kabupaten Tasikmalaya, Jawa Barat 46155",식당/카페,$1,20%,https://pay.verychat.io/shops/Vmedk
셀럽스터디,경기 양주시 화합로1710번길 177-19 아이테크엠 지식산업단지 5층 507호,패션/잡화,문의,-,https://pay.verychat.io/shops/BnMqW
Kishan cycle store,"Gurbhakot-8surkhet,nepal",사무기기,1 rupees,50%,https://pay.verychat.io/shops/qDQQA
컴홀릭,충남 천안시 서북구 부성6길 39-3 1층 101호,사무기기,변동,100%,https://pay.verychat.io/shops/EnrAC
해달양꼬치,경기도남양주 진접읍 봉현로 24 1층,식당/카페,10,100%,https://pay.verychat.io/shops/Qbjvc
Khani_general_store,Rawalpindi,미용,0.5,50%,https://pay.verychat.io/shops/uXhlo
Kitchen Material,R/Zaki gwarzo road kano state,가전/게임,50,50%,https://pay.verychat.io/shops/PURlf
Zahr&Zahrglobal,"Kofar Fada, Garo",패션/잡화,50%,50%,https://pay.verychat.io/shops/vFhHw
오땡큐염색방,"도봉구 도봉로156길 23-2
1층",미용,8원,30%,https://pay.verychat.io/shops/CoIuR
General store kirana,"Bagerva chandvak jonpur uttar pradesh 
222129",기타,INR 0.65 $0.0072,50%,https://pay.verychat.io/shops/CfWbg
2 in 1 business,Praise chapel area Ogbomoso.,기타,0.0007,70%,https://pay.verychat.io/shops/xvsOI
Ama's Restaurant,JP26+74R Awoshie,식당/카페,15,5%,https://pay.verychat.io/shops/NIcmS
Warung Kopi Shallom,"Jl. Tanjung Pura, Benua Melayu Laut, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78123",식당/카페,$0.9,50%,https://pay.verychat.io/shops/IdgNN
toko sembako h sukri,"jl tambak pamarayan, kp.baru, kec.pamarayan, kabupaten serang, banten 42176",기타,0.007$,50%,https://pay.verychat.io/shops/XHZFu
부산대박사태권도,"부산시 해운대구 좌동순환로217번길19,LIG건영1차아파트상가302호",기타,10원,10%,https://pay.verychat.io/shops/gQBSI
Abubakar Business Centre,"06, Ebenezer Street, Off Governor's Road, Ikotun, Alimosho LGA, Lagos State.",기타,-,-,https://pay.verychat.io/shops/QwLmE
MS TUTA SPARE PARTS,Tudun wada local government kano State,여행/숙박,50,50%,https://pay.verychat.io/shops/zIGYS
IT educator,University of Lagos,기타,0.007,60%,https://pay.verychat.io/shops/eDyID
서라벌마트,대전 서구 월평로34번길 13 1층,기타,10원,50%,https://pay.verychat.io/shops/hJkLm
Eltek,"Melufen palace, MGX8+Q6C, Olagbeyinwa street, Ogijo 121101, Ogun State. Nigeria",기타,5NGN,40%,https://pay.verychat.io/shops/PqFys
Miemie_investiment,No 06 Manladan NababaTRX,패션/잡화,50,50%,https://pay.verychat.io/shops/rTmfi
기대방수,포항시 북구 대해로 22 기대방수,부동산/인테리어,5,5%,https://pay.verychat.io/shops/dfEOc
Nasi Goreng dan Mie Goreng Ncekyanto,"P.Antasari Gg. Hi. Hasan Basri no 38 Bandarlampung, Indonesia",식당/카페,0.002 USDT,50%,https://pay.verychat.io/shops/vngEs
Damilola Provision Store,https://maps.app.goo.gl/mK6nvYkpA5fSDMC97,의료/건강,0.007,30%,https://pay.verychat.io/shops/nndcz
Meer Hassan Jat kiryana store,"Taluka Jati, District Sujawal, Province Sindh.",가전/게임,1.99 pkr,50%,https://pay.verychat.io/shops/nGHMv
nakowa,No. 2 Ola street iyana ltire surulere,부동산/인테리어,$2,50%,https://pay.verychat.io/shops/PKdAG
FreedomSecure F-Sec CCTV Installation,"Tudun Wada local government Kano, Nigeria",기타,500,50%,https://pay.verychat.io/shops/DPuFM
Emmypoundz Chemist Store,35.Shrimp Road Ogharaefe Oghara,의료/건강,0.007,50%,https://pay.verychat.io/shops/KrEIC
Bakso pedas fa,"Jl.tambak pamarayan,Kp.baru, kecamatan pamarayan,kab.serang",식당/카페,10,50%,https://pay.verychat.io/shops/nzXEV
HKZK COFFEE,Jl. Kh. Mashur 1 Sindangsari Kotabumi Lampung Utara,식당/카페,50 Idr,100%,https://pay.verychat.io/shops/xBBTa
Daisylady Ventures,Eddy shop 2 beside Christiana hospital egbu Owerri Imo state,패션/잡화,0.007,50%,https://pay.verychat.io/shops/VsRRK
DOTMAN CREATIVE CONCEPTS,"8 Fajebe street, Mile 2 Abeokuta Ogun state",기타,-,-,https://pay.verychat.io/shops/hmXek
Sadeeq Furnitures,"Gidan magani opposite Sabilu Rashad Islamiyya Primary school, Rijiyar Lemo, Kano.",기타,$50,50%,https://pay.verychat.io/shops/cDMmn
DeepInk,JQMG+GQ6 Accra,기타,GH¢20,10%,https://pay.verychat.io/shops/LLbEG
도봉구인쇄대영사,서울시 도봉구 도봉로155길 4,기타,10,35%,https://pay.verychat.io/shops/SxbmW
Maman Fatima Trader,Magadawan Rahama ne.,기타,$0.99,50%,https://pay.verychat.io/shops/vhOBl
KGN  ENTERPRISES,India,기타,0.005,50%,https://pay.verychat.io/shops/ZkrkY
오리궁뎅이 백운점,광주광역시 남구 백운로 72-1,식당/카페,10원,100%,https://pay.verychat.io/shops/cICyq
Bubur Ayam Bang Edwin,"PERUMAHAN PONDOK REJO ASRI JL.KENDALISODO No.23, Telukan, Danurejo, Kec. Mertoyudan, Kabupaten Magelang, Jawa Tengah 56172",식당/카페,115 IDR,95%,https://pay.verychat.io/shops/JrFwn
